id,start_x,start_y,end_x,end_y,towards_light
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,263,184,True
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,263,184,262,184,False
1,262,184,262,184,False
1,263,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,184,False
1,262,184,262,194,False
1,262,184,262,194,False
1,263,184,262,194,False
1,262,184,262,194,False
1,263,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,263,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,263,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,184,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
1,262,194,262,194,False
2,3,67,6,53,True
1,262,194,262,194,False
2,3,67,5,41,True
1,262,194,262,194,False
2,3,67,3,49,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,628,126,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,622,123,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,628,133,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
1,262,194,262,194,False
2,3,67,3,40,True
4,634,159,621,137,True
